Problema;Variable;Claúsulas;K;MejoraLocal;Previo;PartirVars;TLectura;TBúsqueda;TTotal;SAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K15;N;N;N;0.0051174163818359375;1.427262783050537;1.4325308799743652;SAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K15;N;N;Y;0.0051174163818359375;1.414534330368042;1.419802188873291;SAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K20;N;N;N;0.0051174163818359375;1.4195945262908936;1.424863338470459;SAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K20;N;N;Y;0.0051174163818359375;1.4202492237091064;1.4255177974700928;SAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K25;N;N;N;0.0051174163818359375;1.4236085414886475;1.4288790225982666;SAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K25;N;N;Y;0.0051174163818359375;1.4180824756622314;1.4233498573303223;SAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K05;N;N;N;0.004453182220458984;1.3611669540405273;1.3658778667449951;UNSAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K05;N;N;Y;0.004453182220458984;1.3571867942810059;1.36171555519104;UNSAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K10;N;N;N;0.004453182220458984;1.3631272315979004;1.3676724433898926;UNSAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K10;N;N;Y;0.004453182220458984;1.371457576751709;1.375985860824585;UNSAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K15;N;N;N;0.004453182220458984;1.3643572330474854;1.3688931465148926;UNSAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K15;N;N;Y;0.004453182220458984;1.3606271743774414;1.365157127380371;UNSAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K20;N;N;N;0.004453182220458984;1.3703186511993408;1.3748483657836914;UNSAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K20;N;N;Y;0.004453182220458984;1.359689474105835;1.36421799659729;UNSAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K25;N;N;N;0.004453182220458984;1.3579010963439941;1.3624298572540283;UNSAT
CNF/UNSATBFCircuitosV424C1031.cnf;424;1031;K25;N;N;Y;0.004453182220458984;1.364607334136963;1.369135856628418;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K05;N;N;N;0.006067991256713867;1.2932164669036865;1.2994673252105713;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K05;N;N;Y;0.006067991256713867;1.2982964515686035;1.3044383525848389;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K10;N;N;N;0.006067991256713867;1.300598382949829;1.3067409992218018;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K10;N;N;Y;0.006067991256713867;1.292896032333374;1.2990386486053467;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K15;N;N;N;0.006067991256713867;1.2926959991455078;1.2988381385803223;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K15;N;N;Y;0.006067991256713867;1.2959129810333252;1.3020730018615723;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K20;N;N;N;0.006067991256713867;1.2944440841674805;1.3006048202514648;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K20;N;N;Y;0.006067991256713867;1.2903225421905518;1.296489953994751;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K25;N;N;N;0.006067991256713867;1.2935981750488281;1.2997605800628662;UNSAT
CNF/UNSATBFCircuitosV428C1037.cnf;428;1037;K25;N;N;Y;0.006067991256713867;1.293917179107666;1.3000776767730713;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K05;N;N;N;0.007178544998168945;0.3832883834838867;0.3906514644622803;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K05;N;N;Y;0.007178544998168945;0.3844945430755615;0.3917677402496338;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K10;N;N;N;0.007178544998168945;0.38195037841796875;0.3892238140106201;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K10;N;N;Y;0.007178544998168945;0.38371896743774414;0.3909933567047119;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K15;N;N;N;0.007178544998168945;0.3838169574737549;0.39108943939208984;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K15;N;N;Y;0.007178544998168945;0.3889460563659668;0.3962240219116211;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K20;N;N;N;0.007178544998168945;0.3840217590332031;0.3912942409515381;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K20;N;N;Y;0.007178544998168945;0.3850829601287842;0.39235639572143555;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K25;N;N;N;0.007178544998168945;0.3829233646392822;0.39019775390625;UNSAT
CNF/UNSATCircuitosV607C1808.cnf;607;1808;K25;N;N;Y;0.007178544998168945;0.3849050998687744;0.39217615127563477;UNSAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K05;N;N;N;0.014953374862670898;18.01528263092041;18.030529022216797;SAT
CNF/SATBFCircuitosV837C2169.cnf;837;2169;K05;N;N;Y;0.014953374862670898;17.97993516921997;17.99520444869995;SAT
